IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE,DOWNLOAD_INDICATOR,UPLOAD_INDICATOR,PROVIDER
191.88.72.92,8/2/2021 9:06,GMT,31.29,8.38,9,Medellín,0,multi,1,parcialmente nublado,23,6,cable,1.043,1.676,Tigo
191.88.72.92,8/2/2021 9:05,GMT,31.27,8.34,173,Madrid,5000,multi,1,parcialmente nublado,23,6,cable,1.042333333,1.668,Tigo
191.88.72.92,8/2/2021 9:04,GMT,30.9,7.32,171,Madrid,5000,multi,1,parcialmente nublado,23,6,wifi,1.03,1.464,Tigo
191.88.72.92,8/2/2021 9:03,GMT,29.7,8.27,12,Medellín,0,multi,1,parcialmente nublado,23,6,wifi,0.99,1.654,Tigo
191.88.72.92,8/2/2021 9:03,GMT,30.82,8.11,22,Bogotá,150,multi,1,parcialmente nublado,23,6,wifi,1.027333333,1.622,Tigo
191.88.72.92,8/1/2021 19:07,GMT,31.39,7.34,11,Medellín,0,multi,1,nublado ,23,2,cable,1.046333333,1.468,Tigo
191.88.72.92,8/1/2021 19:06,GMT,31.42,7.31,21,Bogotá,150,multi,1,nublado ,23,2,cable,1.047333333,1.462,Tigo
191.88.72.92,8/1/2021 19:06,GMT,27,7.25,174,Madrid,5000,multi,1,nublado ,23,2,cable,0.9,1.45,Tigo
191.88.72.92,8/1/2021 19:04,GMT,29.11,5.27,170,Madrid,5000,multi,1,nublado ,23,2,wifi,0.970333333,1.054,Tigo
191.88.72.92,8/1/2021 19:03,GMT,30.98,6.72,6,Medellín,0,multi,1,nublado ,23,2,wifi,1.032666667,1.344,Tigo
191.88.72.92,8/1/2021 19:02,GMT,31.37,6.14,23,Bogotá,150,multi,1,nublado ,23,2,wifi,1.045666667,1.228,Tigo
1.81134E+11,8/1/2021 14:07,GMT,18.21,5.9,161,Madrid,5000,multi,1,muy nublado,29,3,cable,0.607,1.18,Tigo
1.81134E+11,8/1/2021 14:06,GMT,29.24,6.09,24,Bogotá,150,multi,1,muy nublado,29,3,cable,0.974666667,1.218,Tigo
1.81134E+11,8/1/2021 14:06,GMT,27.1,7.34,12,Medellín,0,multi,1,muy nublado,29,3,cable,0.903333333,1.468,Tigo
1.81134E+11,8/1/2021 14:05,GMT,16.9,6.14,172,Madrid,5000,multi,1,muy nublado,29,3,wifi,0.563333333,1.228,Tigo
1.81134E+11,8/1/2021 14:04,GMT,16.32,6.86,12,Medellín,0,multi,1,muy nublado,29,3,wifi,0.544,1.372,Tigo
1.81134E+11,8/1/2021 14:03,GMT,23.13,7.34,25,Bogotá,150,multi,1,muy nublado,29,3,wifi,0.771,1.468,Tigo
191.88.72.92,8/1/2021 9:24,GMT,31.25,7.33,18,Bogotá,150,multi,1,parcialmente nublado,25,2,cable,1.041666667,1.466,Tigo
191.88.72.92,8/1/2021 9:24,GMT,31.41,7.33,8,Medellín,0,multi,1,parcialmente nublado,25,2,cable,1.047,1.466,Tigo
191.88.72.92,8/1/2021 9:23,GMT,31.4,7.31,168,Madrid,5000,multi,1,parcialmente nublado,25,2,cable,1.046666667,1.462,Tigo
191.88.72.92,8/1/2021 9:21,GMT,24.65,7,170,Madrid,5000,multi,1,parcialmente nublado,25,2,wifi,0.821666667,1.4,Tigo
191.88.72.92,8/1/2021 9:20,GMT,32.02,7.16,10,Medellín,0,multi,1,parcialmente nublado,25,2,wifi,1.067333333,1.432,Tigo
191.88.72.92,8/1/2021 9:20,GMT,31.01,7.12,21,Bogotá,150,multi,1,parcialmente nublado,25,2,wifi,1.033666667,1.424,Tigo
191.88.72.92,7/31/2021 19:26,GMT,11.57,4.95,11,Medellín,0,multi,1,parcialmente nublado,23,3,wifi,0.385666667,0.99,Tigo
191.88.72.92,7/31/2021 19:25,GMT,12.28,4.71,23,Bogotá,150,multi,1,parcialmente nublado,23,3,wifi,0.409333333,0.942,Tigo
